"Clovas impact event",-10900,"","Impact","","","","","","North America"
"Burkle Crater",-3250,"","Impact","","","","","","Indian Ocean"
"Umn al Bini",-2200,"","Impact","","","","","","Near East"
"Campo del Cielo Crater",-2000,"","Impact","","","","","","South America"
"Carancas Impact Crater",2007,"","Impact","","","","","","South America"
"Grendel Crater",536,"","Impact","","","","","","Europe"
"Haviland Crater",1000,"","Impact","","","","","","North America"
"Henbury Meteorites Conservation Reserver",-2200,"","Impact","","","","","","Australasia"
"Ilumetsa Crater",-4600,"","Impact","","","","","","Europe"
"Kenmore Crater",535,"","Impact","","","","","","Australasia"
"Kaali Crater",-660,"","Impact","","","","","","Europe"
"Macha Crater",-6000,"","Impact","","","","","","Eurasia"
"Mahuika Crater",1422,"","Impact","","","","","","Australasia"
"Morasko Meterorite Nature Reseve",-3000,"","Impact","","","","","","Europe"
"Rio Caurto Craters",-3000,"","Impact","","","","","","South America"
"Sirente Crater",312,"","Impact","","","","","","Europe"
"Sobolev Crater",1000,"","Impact","","","","","","Eurasia"
"Tai Hu Lake",-2500,"","Impact","","","","","","Central Asia"
"Tabban Crater",535,"","Impact","","","","","","Australasia"
"Wabar Craters",1863,"","Impact","","","","","","Middle East"
"Kamil Crater",-3000,"","Impact","","","","","","Australasia"
"Whitecourt Creter",1105,"","Impact",25,"","","","","North America"
"Dalgaranga crater",-1000,"","Impact","","","","","","Australasia"
